Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T59-B01,WT-166:S006,galvin,james,8,BLK:02 PLN:14 POS:00,MFV 04235,245.50,2/21/2013 11:32,2/21/2013 13:11,1:39:17,,,,,0.00,245.50,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:14 POS:00,MFV 04235,1,3/8/2013 2:07,3/8/2013 2:10,0:02:24,,,,,,1.00,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:14 POS:00,MFV 04235,4.8,5/22/2014 14:27,5/22/2014 14:46,0:19:28,,"2 1/2""",,,0.00,4.80,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 04235,BLK:02 PLN:14 POS:00,251.30,
T59-B01,WT-166:S006,galvin,james,7,BLK:02 PLN:18 POS:00,MFV 04311,242.20,2/21/2013 11:43,2/21/2013 13:21,1:38:27,,,,,0.00,242.20,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:18 POS:00,MFV 04311,2.3,3/8/2013 1:44,3/8/2013 1:50,0:06:07,,,,,,2.30,T64-B13,WT163:S066,Larry,Brent,9,BLK:02 PLN:18 POS:00,MFV 04311,2.7,5/22/2014 14:53,5/22/2014 15:05,0:11:38,,"1 1/4""",,,0.00,2.70,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 04311,BLK:02 PLN:18 POS:00,247.20,
T59-B01,WT-166:S006,galvin,james,9,BLK:02 PLN:10 POS:00,MFV 04195,245.00,2/21/2013 11:48,2/21/2013 13:24,1:36:23,,,,,0.00,245.00,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:10 POS:00,MFV 04195,4.1,3/8/2013 1:57,3/8/2013 2:03,0:05:19,,,,,,4.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 04195,BLK:02 PLN:10 POS:00,249.10,
T59-B01,WT-166:S006,galvin,james,4,BLK:02 PLN:22 POS:00,MFV 00538,250.00,2/21/2013 11:51,2/21/2013 13:37,1:45:55,,,,,0.00,250.00,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:22 POS:00,MFV 00538,3.4,3/8/2013 1:52,3/8/2013 1:59,0:06:10,,,,,,3.40,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 00538,BLK:02 PLN:22 POS:00,253.40,
T59-B01,WT-166:S006,galvin,james,10,BLK:02 PLN:06 POS:00,MFV 01446,245.70,2/21/2013 11:54,2/21/2013 13:38,1:44:46,,,,,0.00,245.70,T64-B02,WT-165:S007,galvin,james,1,BLK:02 PLN:06 POS:00,MFV 01446,2,3/8/2013 1:51,3/8/2013 1:55,0:03:16,,,,,,2.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 01446,BLK:02 PLN:06 POS:00,247.70,
T59-B01,WT-166:S006,galvin,james,3,BLK:02 PLN:26 POS:00,MFV 03471,244.10,2/21/2013 11:56,2/21/2013 14:15,2:19:24,,,,,0.00,244.10,T64-B02,WT-165:S007,galvin,james,8,BLK:02 PLN:26 POS:00,MFV 03471,3,3/8/2013 2:01,3/8/2013 2:06,0:04:38,,,,,,3.00,T64-B13,WT163:S066,Larry,Brent,4,BLK:02 PLN:26 POS:00,MFV 03471,1.6,5/22/2014 15:21,5/22/2014 15:31,0:09:32,,"1 1/4""",,,0.00,1.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 03471,BLK:02 PLN:26 POS:00,248.70,
