Fill 1: Scint. Batch,Fill 1: Tanker ID,Fill 1: Tech 1,Fill 1: Tech 2,Fill 1: Mach ID,Fill 1: Module Position,Fill 1: Module ID,Fill 1: Amount from 1st Tanker (gal),Fill 1: Start Time,Fill 1: End Time,Fill 1: Fill Time,Dummy 1,Fill 1: Comments,Fill 1: 2nd Tanker Batch,Fill 1: 2nd Tanker,Fill 1: Amount from 2nd Tanker (gal),Fill 1: Total(gal),Fill 2: Scint. Batch,Fill 2: Tanker ID,Fill 2: Tech 1,Fill 2: Tech 2,Fill 2: Mach ID,Fill 2: Module Position,Fill 2: Module ID,Fill 2: Amount from 1st Tanker (gal),Fill 2: Start Time,Fill 2: End Time,Fill 2: Fill Time,Dummy 2,Fill 2: Comments,Fill 2: 2nd Tanker Batch,Fill 2: 2nd Tanker,Fill 2: Amount from 2nd Tanker (gal),Fill 2: Total (gal),Fill 3: Scint. Batch,Fill 3: Tanker ID,Fill 3: Tech 1,Fill 3: Tech 2,Fill 3: Mach ID,Fill 3: Module Position,Fill 3: Module ID,Fill 3: Amout from 1st Tanker (gal),Fill 3: Start Time,Fill 3: End Time,Fill 3: Fill Time,Dummy 3,Fill 3: Comments,Fill 3: 2nd Tanker Batch,Fill 3: 2nd Tanker,Fill 3: Amount from 2nd Tanker (gal),Fill 3: Total(gal),Fill 4: Scint. Batch,Fill 4: Tanker ID,Fill 4: Tech 1,Fill 4: Tech 2,Fill 4: Mach ID,Fill 4: Module Position,Fill 4: Module ID,Fill 4: Amount from 1st Tanker (gal),Fill 4: Start Time,Fill 4: End Time,Fill 4: Fill Time,Dummy 4,Fill 4: Comments,Fill 4: 2nd Tanker Batch,Fill 4: 2nd Tanker,Fill 4: Amount from 2nd Tanker (gal),Fill 4: Total (gal),,No. Modules,Module ID,Module Position,Total Fill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T64-B01,WT-163:S002,daniel,jason,4,BLK:00 PLN:01 POS:00,MFV 03102,240.00,1/9/13 10:39,1/9/13 13:16,2:37:33,,,,,0.00,240.00,T64-B01,WT-163:S002,daniel,jason,4,BLK:00 PLN:01 POS:00,MFV 03102,14.20,1/9/13 13:17,1/9/13 13:52,0:35:14,,,,,0.00,14.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,1,MFV 03102,BLK:00 PLN:01 POS:00,254.20
T64-B01,WT-163:S002,daniel,jason,4,BLK:00 PLN:01 POS:01,MFV 00573,240.00,1/9/13 14:15,1/9/13 16:23,2:08:14,,,,,0.00,240.00,T64-B01,WT-163:S002,daniel,jason,4,BLK:00 PLN:01 POS:01,MVF00573,12.60,1/9/13 16:24,1/9/13 16:39,0:15:52,,,,,0.00,12.60,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,2,MFV 00573,BLK:00 PLN:01 POS:01,252.60
T64-B01,WT-163:S002,daniel,jason,7,BLK:00 PLN:01 POS:02,MFV 04468,240.00,1/9/13 10:49,1/9/13 13:11,2:22:09,,,,,0.00,240.00,T64-B01,WT-163:S002,daniel,jason,7,BLK:00 PLN:01 POS:02,MFV 04468,12.10,1/9/13 13:12,1/9/13 13:51,0:39:49,,,,,0.00,12.10,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,3,MFV 04468,BLK:00 PLN:01 POS:02,252.10
T64-B01,WT-163:S002,daniel,jason,7,BLK:00 PLN:01 POS:03,MFV 03241,225.60,1/9/13 14:25,1/9/13 17:41,3:16:29,,,T64-B01,WT-116:S002,14.40,240.00,T64-B01,WT-116:S002,daniel,jason,7,BLK:00 PLN:01 POS:03,MFV 03241,13.20,1/10/13 10:31,1/10/13 11:10,0:39:11,,,,,0.00,13.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,4,MFV 03241,BLK:00 PLN:01 POS:03,253.20
T64-B01,WT-163:S002,daniel,jason,8,BLK:00 PLN:01 POS:04,MFV 00574,240.00,1/9/13 10:52,1/9/13 13:11,2:19:48,,,,,0.00,240.00,T64-B01,WT-163:S002,daniel,jason,8,BLK:00 PLN:01 POS:04, MFV 00574 ,11.20,1/9/13 13:16,1/9/13 13:52,0:36:50,,,,,0.00,11.20,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,5,MFV 00574,BLK:00 PLN:01 POS:04,251.20
T64-B01,WT-163:S002,daniel,jason,8,BLK:00 PLN:01 POS:05,MFV 00572,220.70,1/9/13 14:27,1/9/13 17:41,3:14:49,,,T64-B01,WT-116:S002,19.30,240.00,T64-B01,WT-116:S002,daniel,jason,8,BLK:00 PLN:01 POS:05,MFV 00572,10.90,1/10/13 10:32,1/10/13 11:10,0:38:35,,,,,0.00,10.90,,,,,,,,0.00,,,,,,,,0.00,0.00,,,,,,,,0.00,,,,,,,,0.00,0.00,,6,MFV 00572,BLK:00 PLN:01 POS:05,250.90
